All calculations;C 2-29 MT ind;C 2-29 MT ind
"Time in s";"Total Active Power in MW";"Total Reactive Power in Mvar"
-0.100000;0.043400;0.022009
-0.090000;0.043400;0.022009
-0.080000;0.043400;0.022009
-0.070000;0.043400;0.022009
-0.060000;0.043400;0.022009
-0.050000;0.043400;0.022009
-0.040000;0.043400;0.022009
-0.030000;0.043400;0.022009
-0.020000;0.043400;0.022009
-0.010000;0.043400;0.022009
0.000000;0.043400;0.022009
0.005000;0.043382;0.044000
0.011667;0.043382;0.044000
0.021667;0.043382;0.044000
0.031667;0.043382;0.044000
0.041667;0.043382;0.044000
0.051667;0.043382;0.044000
0.061667;0.043382;0.044000
0.071667;0.043382;0.044000
0.081667;0.043382;0.044000
0.091667;0.043382;0.044000
0.101667;0.043382;0.044000
0.111667;0.043382;0.044000
0.121667;0.043382;0.044000
0.131667;0.043382;0.044000
0.141667;0.043382;0.044000
0.151667;0.043382;0.044000
0.161667;0.043382;0.044000
0.171667;0.043382;0.044000
0.181667;0.043382;0.044000
0.191667;0.043382;0.044000
0.201667;0.043382;0.044000
0.211667;0.043382;0.044000
0.221667;0.043382;0.044000
0.230000;0.043382;0.044000
0.235000;0.043400;0.022009
0.241667;0.043400;0.022009
0.251667;0.043400;0.022009
0.261667;0.043400;0.022009
0.271667;0.043400;0.022009
0.281667;0.043400;0.022009
0.291667;0.043400;0.022009
0.301667;0.043400;0.022009
0.311667;0.043400;0.022009
0.321667;0.043400;0.022009
0.331667;0.043400;0.022009
0.341667;0.043400;0.022009
0.351667;0.043400;0.022009
0.361667;0.043400;0.022009
0.371667;0.043400;0.022009
0.381667;0.043400;0.022009
0.391667;0.043400;0.022009
0.401667;0.043400;0.022009
0.411667;0.043400;0.022009
0.421667;0.043400;0.022009
0.431667;0.043400;0.022009
0.441667;0.043400;0.022009
0.451667;0.043400;0.022009
0.461667;0.043400;0.022009
0.471667;0.043400;0.022009
0.481667;0.043400;0.022009
0.491667;0.043400;0.022009
0.501667;0.043400;0.022009
0.511667;0.043400;0.022009
0.521667;0.043400;0.022009
0.531667;0.043400;0.022009
0.541667;0.043400;0.022009
0.551667;0.043400;0.022009
0.561667;0.043400;0.022009
0.571667;0.043400;0.022009
0.581667;0.043400;0.022009
0.591667;0.043400;0.022009
0.601667;0.043400;0.022009
0.611667;0.043400;0.022009
0.621667;0.043400;0.022009
0.631667;0.043400;0.022009
0.641667;0.043400;0.022009
0.651667;0.043400;0.022009
0.661667;0.043400;0.022009
0.671667;0.043400;0.022009
0.681667;0.043400;0.022009
0.691667;0.043400;0.022009
0.701667;0.043400;0.022009
0.711667;0.043400;0.022009
0.721667;0.043400;0.022009
0.731667;0.043400;0.022009
0.741667;0.043400;0.022009
0.751667;0.043400;0.022009
0.761667;0.043400;0.022009
0.771667;0.043400;0.022009
0.781667;0.043400;0.022009
0.791667;0.043400;0.022009
0.801667;0.043400;0.022009
0.811667;0.043400;0.022009
0.821667;0.043400;0.022009
0.831667;0.043400;0.022009
0.841667;0.043400;0.022009
0.851667;0.043400;0.022009
0.861667;0.043400;0.022009
0.871667;0.043400;0.022009
0.881667;0.043400;0.022009
0.891667;0.043400;0.022009
0.901667;0.043400;0.022009
0.911667;0.043400;0.022009
0.921667;0.043400;0.022009
0.931667;0.043400;0.022009
0.941667;0.043400;0.022009
0.951667;0.043400;0.022009
0.961667;0.043400;0.022009
0.971667;0.043400;0.022009
0.981667;0.043400;0.022009
0.991667;0.043400;0.022009
1.001667;0.043400;0.022009
1.011667;0.043400;0.022009
1.021667;0.043400;0.022009
1.031667;0.043400;0.022009
1.041667;0.043400;0.022009
1.051667;0.043400;0.022009
1.061667;0.043400;0.022009
1.071667;0.043400;0.022009
1.081667;0.043400;0.022009
1.091667;0.043400;0.022009
1.101667;0.043400;0.022009
1.111667;0.043400;0.022009
1.121667;0.043400;0.022009
1.131667;0.043400;0.022009
1.141667;0.043400;0.022009
1.151667;0.043400;0.022009
1.161667;0.043400;0.022009
1.171667;0.043400;0.022009
1.181667;0.043400;0.022009
1.191667;0.043400;0.022009
1.201667;0.043400;0.022009
1.211667;0.043400;0.022009
1.221667;0.043400;0.022009
1.231667;0.043400;0.022009
1.241667;0.043400;0.022009
1.251667;0.043400;0.022009
1.261667;0.043400;0.022009
1.271667;0.043400;0.022009
1.281667;0.043400;0.022009
1.291667;0.043400;0.022009
