All calculations;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;N28\N28;N29\N29 DG
"Time in s";"u1, Magnitude in p.u.";"Positive-Sequence Current, Magnitude in kA";"Total Active Power in MW";"Total Reactive Power in Mvar";"u1, Magnitude in p.u.";"u1, Magnitude in p.u."
0.631667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.641667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.651667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.661667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.671667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.681667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.691667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.701667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.711667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.721667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.731667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.741667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.751667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.761667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.771667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.781667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.791667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.801667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.811667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.821667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.831667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.841667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.851667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.861667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.871667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.881667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.891667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.901667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.911667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.921667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.931667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.941667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.951667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.961667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.971667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.981667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
0.991667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.001667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.011667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.021667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.031667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.041667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.051667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.061667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.071667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.081667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.091667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.101667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.111667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.121667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.131667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
1.141667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
