All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
0.701667;0.156101;0.079861;1.024560;1.027362;1.050005
0.711667;0.156101;0.079861;1.024560;1.027362;1.050005
0.721667;0.156101;0.079861;1.024560;1.027362;1.050005
0.731667;0.156101;0.079861;1.024560;1.027362;1.050005
0.741667;0.156101;0.079861;1.024560;1.027362;1.050005
0.751667;0.156101;0.079861;1.024560;1.027362;1.050005
0.761667;0.156101;0.079861;1.024560;1.027362;1.050005
0.771667;0.156101;0.079861;1.024560;1.027362;1.050005
0.781667;0.156101;0.079861;1.024560;1.027362;1.050005
0.791667;0.156101;0.079861;1.024560;1.027362;1.050005
0.801667;0.156101;0.079861;1.024560;1.027362;1.050005
0.811667;0.156101;0.079861;1.024560;1.027362;1.050005
0.821667;0.156101;0.079861;1.024560;1.027362;1.050005
0.831667;0.156101;0.079861;1.024560;1.027362;1.050005
0.841667;0.156101;0.079861;1.024560;1.027362;1.050005
0.851667;0.156101;0.079861;1.024560;1.027362;1.050005
0.861667;0.156101;0.079861;1.024560;1.027362;1.050005
0.871667;0.156101;0.079861;1.024560;1.027362;1.050005
0.881667;0.156101;0.079861;1.024560;1.027362;1.050005
0.891667;0.156101;0.079861;1.024560;1.027362;1.050005
0.901667;0.156101;0.079861;1.024560;1.027362;1.050005
0.911667;0.156101;0.079861;1.024560;1.027362;1.050005
0.921667;0.156101;0.079861;1.024560;1.027362;1.050005
0.931667;0.156101;0.079861;1.024560;1.027362;1.050005
0.941667;0.156101;0.079861;1.024560;1.027362;1.050005
0.951667;0.156101;0.079861;1.024560;1.027362;1.050005
0.961667;0.156101;0.079861;1.024560;1.027362;1.050005
0.971667;0.156101;0.079861;1.024560;1.027362;1.050005
0.981667;0.156101;0.079861;1.024560;1.027362;1.050005
0.991667;0.156101;0.079861;1.024560;1.027362;1.050005
1.001667;0.156101;0.079861;1.024560;1.027362;1.050005
1.011667;0.156101;0.079861;1.024560;1.027362;1.050005
1.021667;0.156101;0.079861;1.024560;1.027362;1.050005
1.031667;0.156101;0.079861;1.024560;1.027362;1.050005
1.041667;0.156101;0.079861;1.024560;1.027362;1.050005
1.051667;0.156101;0.079861;1.024560;1.027362;1.050005
1.061667;0.156101;0.079861;1.024560;1.027362;1.050005
1.071667;0.156101;0.079861;1.024560;1.027362;1.050005
1.081667;0.156101;0.079861;1.024560;1.027362;1.050005
1.091667;0.156101;0.079861;1.024560;1.027362;1.050005
1.101667;0.156101;0.079861;1.024560;1.027362;1.050005
1.111667;0.156101;0.079861;1.024560;1.027362;1.050005
1.121667;0.156101;0.079861;1.024560;1.027362;1.050005
1.131667;0.156101;0.079861;1.024560;1.027362;1.050005
1.141667;0.156101;0.079861;1.024560;1.027362;1.050005
1.151667;0.156101;0.079861;1.024560;1.027362;1.050005
1.161667;0.156101;0.079861;1.024560;1.027362;1.050005
1.171667;0.156101;0.079861;1.024560;1.027362;1.050005
1.181667;0.156101;0.079861;1.024560;1.027362;1.050005
1.191667;0.156101;0.079861;1.024560;1.027362;1.050005
1.201667;0.156101;0.079861;1.024560;1.027362;1.050005
1.211667;0.156101;0.079861;1.024560;1.027362;1.050005
1.221667;0.156101;0.079861;1.024560;1.027362;1.050005
1.231667;0.156101;0.079861;1.024560;1.027362;1.050005
1.241667;0.156101;0.079861;1.024560;1.027362;1.050005
1.251667;0.156101;0.079861;1.024560;1.027362;1.050005
1.261667;0.156101;0.079861;1.024560;1.027362;1.050005
1.271667;0.156101;0.079861;1.024560;1.027362;1.050005
1.281667;0.156101;0.079861;1.024560;1.027362;1.050005
1.291667;0.156101;0.079861;1.024560;1.027362;1.050005
1.301667;0.156101;0.079861;1.024560;1.027362;1.050005
1.311667;0.156101;0.079861;1.024560;1.027362;1.050005
1.321667;0.156101;0.079861;1.024560;1.027362;1.050005
1.331667;0.156101;0.079861;1.024560;1.027362;1.050005
1.341667;0.156101;0.079861;1.024560;1.027362;1.050005
1.351667;0.156101;0.079861;1.024560;1.027362;1.050005
1.361667;0.156101;0.079861;1.024560;1.027362;1.050005
1.371667;0.156101;0.079861;1.024560;1.027362;1.050005
1.381667;0.156101;0.079861;1.024560;1.027362;1.050005
1.391667;0.156101;0.079861;1.024560;1.027362;1.050005
1.401667;0.156101;0.079861;1.024560;1.027362;1.050005
1.411667;0.156101;0.079861;1.024560;1.027362;1.050005
1.421667;0.156101;0.079861;1.024560;1.027362;1.050005
1.431667;0.156101;0.079861;1.024560;1.027362;1.050005
1.441667;0.156101;0.079861;1.024560;1.027362;1.050005
1.451667;0.156101;0.079861;1.024560;1.027362;1.050005
1.461667;0.156101;0.079861;1.024560;1.027362;1.050005
1.471667;0.156101;0.079861;1.024560;1.027362;1.050005
1.481667;0.156101;0.079861;1.024560;1.027362;1.050005
1.491667;0.156101;0.079861;1.024560;1.027362;1.050005
1.501667;0.156101;0.079861;1.024560;1.027362;1.050005
1.511667;0.156101;0.079861;1.024560;1.027362;1.050005
1.521667;0.156101;0.079861;1.024560;1.027362;1.050005
1.531667;0.156101;0.079861;1.024560;1.027362;1.050005
1.541667;0.156101;0.079861;1.024560;1.027362;1.050005
1.551667;0.156101;0.079861;1.024560;1.027362;1.050005
1.561667;0.156101;0.079861;1.024560;1.027362;1.050005
1.571667;0.156101;0.079861;1.024560;1.027362;1.050005
