Load Name;Active Power;Reactive Power
C 2-19 BT ind;0.2109;0.1401
C 2-20 BT agr;0.1533;0.1028
C 2-21 BT agr;0.1536;0.1032
C 2-23 MT ill;0;0
C 2-24 BT agr;0.1439;0.0961
C 2-25 BT ind;0.1598;0.1054
C 2-26 MT ter;0.2174;0.1033
C 2-27.1 BT res;0.1193;0.0787
C 2-27.2 MT agr;0.8023;0.3866
C 2-27.3 BT agr;0.2744;0.1814
C 2-28 BT ter;0.0664;0.0464
C 2-29 MT ind;0.1726;0.0864
C 2-30 BT ind;0.2135;0.1453
C 2-31 BT agr;0.1234;0.0835
C 2-32.1 BT res;0.0643;0.0439
C 2-32.2 MT agr;0.7457;0.3652
